gauss/kronrod,x,w
g,0.98799251802048542848956571858661258114697281712376148999999751558738843737,0.030753241996117268354628393577204417721748144833434074264228285504237189467
g,0.9372733924007059043077589477102094712439962735153044579013630763502029738,0.070366047488108124709267416450667338466708032754330719825907292914387055513
g,0.84820658341042721620064832077421685136625617473699263409572755876067507517,0.10715922046717193501186954668586930341554371575810198068702238912187799485
g,0.72441773136017004741618605461393800963089929458410256355142342070412378168,0.13957067792615431444780479451102832252085027531551124320239112863108844454
g,0.57097217260853884753722673725391064123838639628274960485326541705419537987,0.16626920581699393355320086048120881113090018009841290732186519056355356321
g,0.39415134707756336989720737098104546836275277615869825503116534395160895779,0.1861610000155622110268005618664228245062260122779284028154957273100132555
g,0.201194093997434522300628303394596207812836454462637679615949724609948239,0.19843148532711157645611832644383932481869255995754199348473792792912479753
g,0,0.20257824192556127288062019996751931483866215800947735679670411605143539875
k,0.99800229869339706028517284015227120907340644231555723034839427970683348683,0.0053774798729233489877920514301276498183080402431284197876486169536848635554
k,0.98799251802048542848956571858661258114697281712376148999999751558738843737,0.015007947329316122538374763075807268094639436437387634979291759700896494746
k,0.96773907567913913425734797878433722528335733730013163797468062226335804249,0.025460847326715320186874001019653359397271745046864640508377984982400903447
k,0.9372733924007059043077589477102094712439962735153044579013630763502029738,0.035346360791375846222037948478360048122630678992420820868148023340902501837
k,0.89726453234408190088250965645449588283177871149442786763972687601078537721,0.0445897513247648766082272993732796902232566496679210965709808232118054507
k,0.84820658341042721620064832077421685136625617473699263409572755876067507517,0.053481524690928087265343147239430296771554760947116739813222888752727413616
k,0.79041850144246593296764929481794734686214051995697617332365280643308302975,0.062009567800670640285139230960802932190400004210329723569147829395618376206
k,0.72441773136017004741618605461393800963089929458410256355142342070412378168,0.069854121318728258709520077099147475786045435140671549698798093177992675625
k,0.65099674129741697053373589531327469254694822609259966708966160576093305841,0.076849680757720378894432777482659006722109101167947000584089097112470821092
k,0.57097217260853884753722673725391064123838639628274960485326541705419537987,0.083080502823133021038289247286103789601554188253368717607281604875233630644
k,0.48508186364023968069365574023235061286633893089407312129367943604080239955,0.088564443056211770647275443693774303212266732690655967817996052574877144545
k,0.39415134707756336989720737098104546836275277615869825503116534395160895779,0.093126598170825321225486872747345718561927881321317330560285879189052002875
k,0.29918000715316881216678002426638896266160338274382080184125545738918081103,0.09664272698362367850517990762758933513665656863049519897340766888293439236
k,0.201194093997434522300628303394596207812836454462637679615949724609948239,0.099173598721791959332393173484603131059567260816713281734860095693651563064
k,0.10114206691871749902707423144739233878745105740164180495800189504151097862,0.10076984552387559504494666261756972191634838013536373069278929029488122761
k,0,0.10133000701479154901737479276749254677092627259659629246734858372174107616
