gauss/kronrod,x,w
g,0.99689348407464954027163005091869528334088203811775079010809429780238769521,0.0079681924961666056154658834746736224504806965871517212294851633569200384329
g,0.98366812327974720997003258160566280194031785470971136351718001015114429537,0.018466468311090959142302131912047269096206533968181403371298365514585599521
g,0.96002186496830751221687102558179766293035921740392339948566167242493995771,0.02878470788332336934971917961129204363958889454628749647418012260814598894
g,0.92620004742927432587932427708047400408647453682532906091103713367942299565,0.038799192569627049596801936446347692033200976766395352107732789705946970953
g,0.8825605357920526815431164625302255900566891471464842320683260531216162627,0.048402672830594052902938140422807517815271809197372736345191936791805425677
g,0.82956576238276839744289811973250191643906869617034167880695298345365650659,0.05749315621761906648172168940205612879712067072176313454871579900323214741
g,0.76777743210482619491797734097450313169488361723290845320649438736515857017,0.065974229882180495128128515115962361237442953656660378967031516042143672466
g,0.69785049479331579693229238802664006838235380065395465637972284673997672124,0.073755974737705206268243850022190734153770526037049438941269182374599399315
g,0.62052618298924286114047755643118929920736469282952813259505117012433531498,0.080755895229420215354694938460529730875892803708439299890258593706051180567
g,0.53662414814201989926416979331107279416417800693029710545274348291201490862,0.086899787201082979802387530715125702576753328743545344012222129882153582254
g,0.44703376953808917678060990032285400016240759386142440975447738172761535173,0.09212252223778612871763270708761876719691323441823410752767504700197304707
g,0.35270472553087811347103720708937386065363100802142562659418446890026941623,0.096368737174644259639468626351809865096406461430160245912994275732837534742
g,0.25463692616788984643980512981780510788278930330251842616428597508896353157,0.09959342058679526706278028210356947652986926366670427722136514618394666039
g,0.15386991360858354696379467274325592041855197124433846171896298291578714851,0.10176238974840550459642895216855404463270628948712684086426094541964251361
g,0.05147184255531769583302521316672257374914145366656956425516084398796475521,0.10285265289355884034128563670541504386837555706492822258631898667601623866
k,0.99948441005049063757132589570581081946887394701850801923632642830748016675,0.0013890136986770076245515912267596996810488412919632724534411055332301367131
k,0.99689348407464954027163005091869528334088203811775079010809429780238769521,0.0038904611270998840512672018445155032785151429848864649214200101281144733676
k,0.99163099687040459485862836610948572485050033374616325510019923349807489603,0.0066307039159312921733198263697501681336283882177812585973955597357837568278
k,0.98366812327974720997003258160566280194031785470971136351718001015114429537,0.0092732796595177634284411468920243604212700249381931076964956469143626665557
k,0.97311632250112626837469386842370688488763796428343933853755850185624118958,0.011823015253496341742232898853250592896264406250607818326302431548265365156
k,0.96002186496830751221687102558179766293035921740392339948566167242493995771,0.014369729507045804812451432443580010195841899895001505873565899403000198662
k,0.94437444474855997941583132403743912158564371496498093181748940139520917001,0.016920889189053272627572289420322092368566703783835191139883410840546679979
k,0.92620004742927432587932427708047400408647453682532906091103713367942299565,0.019414141193942381173408951050128455851421014191431525770276066536497179079
k,0.90557330769990779854652255892595831956897536366222841356404766397803760239,0.021828035821609192297167485738338993401507296056834912773630422358720439403
k,0.8825605357920526815431164625302255900566891471464842320683260531216162627,0.024191162078080601365686370725232026760391377828182462432228943562944885268
k,0.85720523354606109895865851065894385682080017062359612850504551739119887226,0.026509954882333101610601709335075414366517579522748565770867438338472138904
k,0.82956576238276839744289811973250191643906869617034167880695298345365650659,0.028754048765041292843978785354334211144679160542074930035102280759132174815
k,0.79972783582183908301366894232268324073569842937778450923647349548686662567,0.03090725756238776247288425294309227263527045852380715342684048696402208619
k,0.76777743210482619491797734097450313169488361723290845320649438736515857017,0.032981447057483726031814191016853927510599291213858385714519347641452316582
k,0.73379006245322680472617113136952764566938172775468549208701399518300016464,0.034979338028060024137499670731467875097226912794818719972208457232177786702
k,0.69785049479331579693229238802664006838235380065395465637972284673997672124,0.03688236465182122922391106561713596773695516478103033767000519858419613497
k,0.660061064126626961370053668149270753038350374808833909550671973399049375,0.038678945624727592950348651532281050250923629821553846790376130679337402057
k,0.62052618298924286114047755643118929920736469282952813259505117012433531498,0.040374538951535959111995279752468114216126062126030255633998289613810846761
k,0.57934523582636169175602493217254049590705158881215289208126016612312833568,0.041969810215164246147147541285969757790088656718992374820388720323852655511
k,0.53662414814201989926416979331107279416417800693029710545274348291201490862,0.04345253970135606931683172811707325807460330863170316806488880549573864084
k,0.49248046786177857499369306120770879564426564096318697026073340982988422546,0.044814800133162663192355551616723243757431392796373009889680201194063503948
k,0.44703376953808917678060990032285400016240759386142440975447738172761535173,0.046059238271006988116271735559373580594692875571824924004732379492293604006
k,0.40040125483039439253547621154266063361104593297078395983186610656429170689,0.04718554656929915394526147818109948648288480730062845719414186155172553329
k,0.35270472553087811347103720708937386065363100802142562659418446890026941623,0.048185861757087129140779492298304592605799236108429800057373350872433793584
k,0.30407320227362507737267710719925655353115778980946272844421536998312150442,0.049055434555029778887528165367238173605887405295296569579490717901328215645
k,0.25463692616788984643980512981780510788278930330251842616428597508896353157,0.049795683427074206357811569379942328539209602813696108951047392842948482646
k,0.20452511668230989143895767100202470952410426459556377447604465028350321895,0.050405921402782346840893085653585028902197018251622233664243959211066713309
k,0.15386991360858354696379467274325592041855197124433846171896298291578714851,0.050881795898749606492297473049804691853384914260919239920771942080972542647
k,0.10280693796673703014709675131800059247190133296515840552101946914632788254,0.051221547849258772170656282604944208251146952425246327553509056805511015401
k,0.05147184255531769583302521316672257374914145366656956425516084398796475521,0.051426128537459025933862879215781259829552034862395987263855824172761589259
k,0,0.051494729429451567558340433647099307532736880396464168074637323362474083844
