gauss/kronrod,x,w
g,0.8611363115940525752239464888928095050957253796297176376157219209065294715,0.34785484513745385737306394922199940723534869583389354049252931951875186747
g,0.33998104358485626480266575910324468720057586977091435259295397682102003046,0.65214515486254614262693605077800059276465130416610645950747068048124813253
k,0.97656025073757311153450535936991962683375905330236093917472634023079332346,0.062977373665473014765492488552818676329417038738213683984479688703826536387
k,0.8611363115940525752239464888928095050957253796297176376157219209065294715,0.17005360533572272680273885329620658726194704858720281552546097579936978493
k,0.64028621749630998240468902315749201835600980018698299807117681866249539463,0.26679834045228444803277062841785566247665037733299870232389871037571819306
k,0.33998104358485626480266575910324468720057586977091435259295397682102003046,0.32694918960145162955845946561731918577437380049407759293537815856626120723
k,0,0.3464429818901363616810771282315997763152234696950144104615649331096485568
