gauss/kronrod,x,w
g,0.99726386184948156354498112866504072713853766372946115930111854578623590839,0.0070186100094700966004070637388531825133772207289396032320082356192151241454
g,0.98561151154526833540017504463090197863239571433580631821078217058203058472,0.016274394730905670605170562206386618179542963795209566429593174961336965175
g,0.96476225558750643077381192811827496038889522044301871932201132183709952549,0.025392065309262059455752589789224029287554047546948720936251282219215478853
g,0.93490607593773968917091913483540932552867143228283721845840373981181619472,0.034273862913021433102687732252372706994840202911627433781405745419231052217
g,0.89632115576605212396530724371921226847899649679575957656361541296502497949,0.042835898022226680656878646606125528492810857598940739562021940891104391696
g,0.84936761373256997013369300496774253895488679304975923310021959861372465614,0.050998059262376176196163244689521695260184776739762843706907123652503051039
g,0.79448379596794240696309729897042890209547940163883545325075824497205939228,0.058684093478535547145283637300170886750120467457546758715003278613287751802
g,0.73218211874028968038742666509126714663027048350662910082113957327038525359,0.065822222776361846837650063706938772877536447373246515371091669685241244202
g,0.66304426693021520097511516866323836897702228596050530101708349649244617492,0.072345794108848506225399356478487791604336983301824870739763282351176534582
g,0.58771575724076232904074547640182685845094011545442057270317884731292285867,0.078193895787070306471740918828306671039786798482159190307481553869493700115
g,0.50689990893222939002374747437782123018028369959943546397436628097077126405,0.083311924226946755222199074604348611538746883942834459840186404728759406924
g,0.42135127613063534536411943617242647833587728863244333054166134045571904626,0.087652093004403811142771462751802287548449721701757222319222803474706115021
g,0.33186860228212764977991680573018799619577513680505983601822963062853768297,0.091173878695763884712868577111637062544861413275390005323127873977703152061
g,0.2392873622521370745446032091655015206088554219602530155470960995597029133,0.093844399080804565639180237668117260036100075746236450050627569635569511862
g,0.14447196158279649348518637359881065220384599131563555213795289382421844382,0.095638720079274859419082002204131100594890508162005550952989850943706744437
g,0.048307665687738316234812570440502163690847251730848897167793734546368592604,0.096540088514727800566764830063575794736860631235570068732318209957749775868
k,0.99954590212436447863561028016111563942213239263332193821364855498091137432,0.0012233608179514718002930371506488626203284538320654907808627030742443255104
k,0.99726386184948156354498112866504072713853766372946115930111854578623590839,0.0034268187757723709355745755785249181150579986715961769316601188717804382342
k,0.99262803526297191268579115643846746311800896150193734641869255497084829629,0.0058417370791666933039479766399995381634610339453051328784423995953770971853
k,0.98561151154526833540017504463090197863239571433580631821078217058203058472,0.0081725040385316684143438051192844968568916838266663522953234072239289424246
k,0.97631028361466380719766964319312497691161113703187232402710338610099120635,0.010423987398806818828034250762015791134349710578330264021538179969532256649
k,0.96476225558750643077381192811827496038889522044301871932201132183709952549,0.0126760548066544028593688833995022349927707313329160428157008833866446289
k,0.95095468484866118538988275061533081966345861302331938216532249837703150899,0.014936103606086027385096751332509398741208652097985932063459101650641385611
k,0.93490607593773968917091913483540932552867143228283721845840373981181619472,0.017149805209784253256085826220232523998887157094269462569830453089318635483
k,0.91667726665136432427534565885791869565579392369713120864947929586616794882,0.019298771430326811294403739763523886488294479674763625351871556412166300583
k,0.89632115576605212396530724371921226847899649679575957656361541296502497949,0.021408913184821915955777518020231122510511097541304770841609431083101564585
k,0.87386976894531060612966180261362882051527929608448605841737930727705798415,0.023486659672163324592087912864772009437835749276457537976831127954377094136
k,0.84936761373256997013369300496774253895488679304975923310021959861372465614,0.025505695480894652814528899899307833588346844228251467078671766175969784121
k,0.82288295013605132164826884947212614707917372727291376938345429661958151214,0.027452098422210403783147706795954569360491853523129416517806618902286563435
k,0.79448379596794240696309729897042890209547940163883545325075824497205939228,0.029336956689620661368615614585583888747857071049103050087401435106368908314
k,0.76422825199780370415066012687437240958626907475865861791325105643273391875,0.031163325561973737171155848684966354867212840413184089404889566329949844851
k,0.73218211874028968038742666509126714663027048350662910082113957327038525359,0.032915077643903600263296476785555532079968757335067517981512389428978437927
k,0.69842655779521049288477014244748301645960475852168125332204862869773024751,0.034582122744733034130726383416884580063744080828157183760912237372566742045
k,0.66304426693021520097511516866323836897702228596050530101708349649244617492,0.036169769475642299860958391303290277635627879933071232476739146693859060902
k,0.62611293770182399782023837975795099686030161457722051614824120730236177863,0.037679130645613398514895973748849019358562350902045520167593506922212981037
k,0.58771575724076232904074547640182685845094011545442057270317884731292285867,0.039099420133306611207482127044236170896863381430192796362114470884100644333
k,0.54794631419915247868093950160974089152297700364114178691137926576876452591,0.040423492370373096672349269421576265261247747107600249788291646513785601091
k,0.50689990893222939002374747437782123018028369959943546397436628097077126405,0.041654019985643051398296413297778784945053739694450468493215489014717873434
k,0.46466930848199221775617820037970813188906104427529244133731611598780347028,0.042791115596446746933654925443738550669019561315534728098582276895384965572
k,0.42135127613063534536411943617242647833587728863244333054166134045571904626,0.043827544030139749046816152673798114704363024839765440687373827551463955694
k,0.37704942115412110544533548554980811430393927712213765386509586359003143736,0.044758638749766937295199192075378530927596193779435936001114900477263635811
k,0.33186860228212764977991680573018799619577513680505983601822963062853768297,0.045585826564547070280575461963265163969022558460741490999823496782426855964
k,0.2859124585894597594166071011903518610195818515039953856104346363105641368,0.04630875673802571324038129847244323603077801492682909946729925168416341459
k,0.2392873622521370745446032091655015206088554219602530155470960995597029133,0.04692296828170361110348071335251484129256590570473882160251345357207936042
k,0.19210360898314249727164159225259462416172844033645101292646748103401700148,0.047426061873882382362879949853922080338935599044817225937739619473160653213
k,0.14447196158279649348518637359881065220384599131563555213795289382421844382,0.04781890873698847221226358465730239738628541073219551258231253581575090046
k,0.096502696876894365800831253016364769133523996502270288605192081057989205392,0.048100969185457746927846543839158077886796068193563294478487213840942901667
k,0.048307665687738316234812570440502163690847251730848897167793734546368592604,0.048270193075777385598712078832991141190111349845400529453373286125404468305
k,0,0.048326383986567758375445434000519611479906037682128280090205004252099555029
