gauss/kronrod,x,w
g,0.94910791234275852452618968404785126240077093767061778354876910391306333036,0.12948496616886969327061143267908201832858740225994666397720863872465523497
g,0.74153118559939443986386477328078840707414764714139026011995535196742987467,0.27970539148927666790146777142377958248692506522659876453701403269361881043
g,0.40584515137739716690660641207696146334738201409937012638704325179466381323,0.38183005050511894495036977548897513387836508353386273475108345103070554643
g,0,0.41795918367346938775510204081632653061224489795918367346938775510204081633
k,0.99145537112081263920685469752632851664204433837033470129108741357244173935,0.022935322010529224963732008058969591993560811275746992267507430254711815788
k,0.94910791234275852452618968404785126240077093767061778354876910391306333036,0.063092092629978553290700663189204286665071157211550707113605545146983997478
k,0.86486442335976907278971278864092620121097230707408814860145771276706770813,0.10479001032225018383987632254151801744375665421383061189339065133963746322
k,0.74153118559939443986386477328078840707414764714139026011995535196742987467,0.14065325971552591874518959051023792039988975724799857556174546893312708093
k,0.58608723546769113029414483825872959843678075060436095130499289319880373607,0.16900472663926790282658342659855028410624490030294424149734006755695680922
k,0.40584515137739716690660641207696146334738201409937012638704325179466381323,0.19035057806478540991325640242101368282607807545535835588544088036744058072
k,0.20778495500789846760068940377324491347978440714517064971384573461986693845,0.20443294007529889241416199923464908471651760418071835742447095312045467699
k,0,0.20948214108472782801299917489171426369776208022370431671299800656137515132
