gauss/kronrod,x,w
g,0.77459666924148337703585307995647992216658434105831816531751475322269661839,0.55555555555555555555555555555555555555555555555555555555555555555555555556
g,0,0.88888888888888888888888888888888888888888888888888888888888888888888888889
k,0.96049126870802028342350709262907996266978223636529131713297954191771867551,0.10465622602646726519382385719207303824220216062510365206305043266663749034
k,0.77459666924148337703585307995647992216658434105831816531751475322269661839,0.26848808986833344072856928066670962476104560001718323775157334020662843396
k,0.43424374934680255800207150284462781728289855695502710629415946955097054413,0.40139741477596222290505181861843187872742300228654055514185344166846474646
k,0,0.45091653865847414234511008704557091653865847414234511008704557091653865847
