gauss/kronrod,x,w
g,0.96028985649753623168356086856947299042823523430145203827163977737242489774,0.10122853629037625915253135430996219011539409105168495705900369806474017876
g,0.79666647741362673959155393647583043683717173161596483207017029503921730568,0.22238103445337447054435599442624088443013087005124956472590928929361681457
g,0.52553240991632898581773904918924634904196424312039285775085709927245482077,0.31370664587788728733796220198660131326032899900273493769026394507495627194
g,0.18343464249564980493947614236018398066675781291297378231718847369920447422,0.36268378337836198296515044927719561219414603989433054052482306756668673472
k,0.99337987588171615593588806901967079546941233511612132637862448857451806238,0.017822383320710355152786961202749789800909675895350979628919255603617609775
k,0.96028985649753623168356086856947299042823523430145203827163977737242489774,0.049439395002139308500363969446996894658263276282425878255699741215810956205
k,0.89412090684745642194836101753825132456728990938116704332078845361142828218,0.082482298931358330688625193445607895475931914789102997864541047800223503167
k,0.79666647741362673959155393647583043683717173161596483207017029503921730568,0.1116463708268396132221081589339414845397596388530349347822865976218512394
k,0.67235407094515867715631073809283104975987950617375758360538349622633445845,0.13626310925517221526233874525450620323011923098526344654101135359101280401
k,0.52553240991632898581773904918924634904196424312039285775085709927245482077,0.15665260616818840049024808848696873727632503637705614956819409113953053585
k,0.36070109792813195719254862229689143918230423388284221884566504300927935276,0.17207060855521131185729488020385708660700579258484628336920489825983455452
k,0.18343464249564980493947614236018398066675781291297378231718847369920447422,0.18140002506803464306174852517255044355920296312717802892706923356851220317
k,0,0.18444640574469164352897095570564292970496494221148260212614756239921318783
